Generic Name,Brand Name(s),Indication,Side Effects,Clinical Pearls
Lisinopril,Prinivil; Zestril,Hypertension; heart failure; acute MI,"Hypotension, hyperkalemia, increased serum creatinine, dry cough, angioedema","ACE inhibitor, monitor BP, kidney function, serum potassium"
Valsartan,Diovan,Hypertension; heart failure; acute MI,"Hypotension, hyperkalemia, increased serum creatinine, angioedema","ARB, similar to ACE inhibitors but less dry cough"
Hydrochlorothiazide,Microzide; Oretic,Hypertension; edema,"Metabolic effects, electrolyte imbalances","Thiazide diuretic, first-line for hypertension"
Furosemide,Lasix,Hypertension; edema,"Metabolic effects, electrolyte imbalances","Loop diuretic, used primarily for heart failure"
Spironolactone,Aldactone,Hypertension; edema; cirrhosis,"Metabolic effects, gynecomastia","Potassium-sparing diuretic, aldosterone antagonist"
Amlodipine,Norvasc,Hypertension; angina,"Peripheral edema, palpitations","Dihydropyridine calcium channel blocker"
Verapamil,Calan,Hypertension; angina; atrial arrhythmias,"Palpitations, constipation","Non-dihydropyridine calcium channel blocker, monitor heart rate"
Diltiazem,Cardizem CD/LA; Tiazac,Hypertension; angina; atrial arrhythmias,"Palpitations, constipation","Non-dihydropyridine calcium channel blocker, monitor heart rate"
Atenolol,Tenormin,Acute MI; angina; heart failure; hypertension,"Fatigue, bradycardia, blunted exercise response, sexual dysfunction","Beta blocker, not first-line for HTN, caution in diabetes and respiratory conditions"
Metoprolol tartrate,Lopressor,Acute MI; angina; heart failure; hypertension,"Fatigue, bradycardia, blunted exercise response, sexual dysfunction","Beta blocker, twice daily dosing"
Metoprolol succinate,Toprol XL,Acute MI; angina; heart failure; hypertension,"Fatigue, bradycardia, blunted exercise response, sexual dysfunction","Beta blocker, once daily dosing, used for heart failure"
Aspirin,Bayer,Acute coronary syndrome; secondary CV prevention,"Bleeding, GI ulceration","Antiplatelet agent, awareness of bleeding signs, may need to hold before procedures"
